0,1,2,3,4,5,6,7,8,9,10
compagni,Activité,Adresse,C.P.,Ville,phone,Mobile,Email,Commentary,Rappel,RDV
gtgt,tgtg,tgtg,tggt,ttg,tgtg,ttg,ttg,,,
"Chautemps . Bernard","Architectes (profession)","11 r Alfred de Vigny",25000,BESANCON,0381831499,,,,,
"Robin Chaignet Architecte (RCA)","Architectes (profession)","20 r Vesoul",25000,BESANCON,0381881726,0662551726,,,,
"Lelièvre Philippe","Architectes (profession)","32 r Vieille Monnaie",25000,BESANCON,,,,,,
"Atelier D'architecture Verticelli","Architectes (profession)","82 chem Essarts l'Amour",25000,BESANCON,0381473526,,,,,
"Haton François","Architectes (profession)","8 chem Crotot",25000,BESANCON,0381553915,,,,,
"H'Abt Architecte","Architectes (profession)","14 Bis r La Fayette",25000,BESANCON,0381823199,,,,,
"De Paris A Cadiz","Architectes (profession)","12 r Cassotte",25000,BESANCON,,0786032173,,,,
"Garcia Richard","Architectes (profession)","Les Griffons 10 Quinquies r Midol",25000,BESANCON,0381533276,,,,,
"La Fabrike","Architectes (profession)","9 r Mégevand",25000,BESANCON,0381533956,,,,,
"Lapprand Denis-Hugues","Architectes (profession)","1 chem Pirey",25000,BESANCON,,,,,,
"Machurey Groupe Architectes","Architectes (profession)","26 av 7ème Armée Américaine",25000,BESANCON,0381517373,,,,,
Archithèque,"Architectes (profession)","6 r Moulin de Prissey",21700,"PREMEAUX PRISSEY",,0671183918,,,,
"Atelier Zéro Carbone Architectes","Architectes (profession)","10 r Crébillon",21700,"NUITS SAINT GEORGES",,"No Prospect",,,,
Architude,"Architectes (profession)","4 r Bois de Charmois",21700,"NUITS SAINT GEORGES",0981607090,,,,,
"Stéphane Hebbrecht Architecture","Architectes (profession)","21 Grande Rue",21590,SANTENAY,0967421397,,,,,
Architude,"Architectes (profession)","4 r Guillotière",21560,"ARC SUR TILLE",0380367090,,,,,
"ABC Design d'Espace","Architectes (profession)","4 r Meix Marillier",21550,"LADOIX SERRIGNY",,0662564364,,,,
"Simon Buri Architecte SELEURL","Architectes (profession)","20 r Ferdinand Mercusot",21540,SOMBERNON,0380334369,,,,,
"Dubaux-Gras Laurence","Architectes (profession)","r Chanoine Bonnard",21470,"BRAZEY EN PLAINE",0380355322,,,,,
"Atelier Marc Le Monnier Architecte","Architectes (profession)","22 r Verdun",21470,"BRAZEY EN PLAINE",,0698808207,,,,
"Serge Berry Architecte","Architectes (profession)","22 r Grands Prés, ham Jaugey",21410,"BARBIREY SUR OUCHE",0380490925,0665657069,,,,
"Hubert Delphine","Architectes (profession)","1 pl Mare",21400,"MONTLIOT ET COURCELLES",,0632094043,,,,
"Las Architecture","Architectes (profession)","35 r Mar De Lattre de Tassigny",21400,"CHATILLON SUR SEINE",0380911677,,,,,
Audace,"Architectes (profession)","14 r Hector Berlioz",21400,"CHATILLON SUR SEINE",0380914578,,,,,
"Pierson Architectes","Architectes (profession)","45 r Mar De Lattre de Tassigny",21400,"CHATILLON SUR SEINE",0325385165,,,,,
"Deffner Daniel","Architectes (profession)","Entree 2 34 r Gault",21390,"PRECY SOUS THIL",0380646673,,,,,
"A.R.C.A.D. Atelier d'Architecture","Architectes (profession)","10 Bis rte Is sur Tille",21380,"SAVIGNY LE SEC",,,,,,
"Atelier Eau Carré","Architectes (profession)","13 r Eglise",21370,"PLOMBIERES LES DIJON",0380404296,,,,,
"Archi Delphe","Architectes (profession)","pl Monument",21320,"BELLENOT SOUS POUILLY",0380648259,,,,,
"Atelier Juffard Olivier (AJO)","Architectes (profession)","r Eglise",21250,"AUVILLARS SUR SAONE",0380217255,,,,,
Darchitectura,"Architectes (profession)","4 bd Clomiers",21240,TALANT,0954260915,,,,,
"Lescure Gilles","Architectes (profession)","16 r Butte Chaumont",21240,TALANT,0380572515,,,,,
"Ana Vajnovszki Architecte SARL","Architectes (profession)","7 r Clos Vougeot",21240,TALANT,,0624432255,,,,
"Sala Cuzol","Architectes (profession)","7 r Paix",21240,TALANT,0380572213,,,,,
"Isabelle Blondin Architecte","Architectes (profession)","2 r Victor Proutat",21230,"ARNAY LE DUC",0380643808,,,,,
"Molamma Barg Behrouz","Architectes (profession)","5 imp Henri Bossong",21220,URCY,,0613647428,,,,
"Becker Giacomino Veronique","Architectes (profession)","12 r Faubourg Bretonnière",21200,BEAUNE,0380201896,,,,,
"Becker Giacomino Véronique","Architectes (profession)","12 r Faubourg Bretonnière",21200,BEAUNE,0966113089,,,,,
"Jean-Baptiste André Architecte","Architectes (profession)","10 pl Ziem",21200,BEAUNE,0965371562,,,,,
"Fichot Cyrille","Architectes (profession)","12 cours François Blondeau",21190,VOLNAY,,0622959123,,,,
"Fichot Cyrille (SARL)","Architectes (profession)","12 cours François Blondeau",21190,VOLNAY,0380216689,,,,,
"Atelier Archipat","Architectes (profession)","9 r Buffon",21140,"SEMUR EN AUXOIS",0380966912,,,,,
"Yves Gauthier Architecte","Architectes (profession)","9 imp Moselle",21121,"FONTAINE LES DIJON",0380563756,,,,,
"FABIEN DRUBIGNY ARCHITECTE","Architectes (profession)","1 r Château",21120,"VILLEY SUR TILLE",,0689989482,,,,
"Architecture Plug And Play","Architectes (profession)","29 r la Fontaine",21110,"LONGECOURT EN PLAINE",,0668025718,,,,
"Poillot Eric","Architectes (profession)","52 av Françoise Giroud",21000,DIJON,0380513547,,,,,
"Sistem Architecture (SARL)","Architectes (profession)","10 r Toison d'Or",21000,DIJON,,,,,,
"Godart Et Roussel","Architectes (profession)","30 r Metz",21000,DIJON,0380670057,,,,,
"Topoiein Studio","Architectes (profession)","38 r Godrans",21000,DIJON,0380304370,,,,,
"Tria Architectes","Architectes (profession)","70 av Drapeau",21000,DIJON,0380303909,,,,,
"Thévenard Jean-Luc","Architectes (profession)","70 av Drapeau",21000,DIJON,,,,,,
A2A,"Architectes (profession)","bât 1 11 r Pierre Palliot",21000,DIJON,0380280077,,,,,
"Gras Laurence","Architectes (profession)","21 bd De Brosses",21000,DIJON,0380449692,0684070750,,,,
"Architectures Vincent Billard","Architectes (profession)","11 r Tillot",21000,DIJON,0371198180,,,,,
"Agence d'Architecture JMVD","Architectes (profession)","4 r Claude Attiret",21000,DIJON,0380357289,,,,,
"Chaudonneret Danon (SCP)","Architectes (profession)","2 bd Georges Clemenceau",21000,DIJON,,,,,,
"Compeyron Daniel","Architectes (profession)","4 r Montmartre",21000,DIJON,0380458896,,,,,
"Picoche Jean-François","Architectes (profession)","70 av Drapeau",21000,DIJON,,,,,,
"Puechavy Bernard","Architectes (profession)","99 r Marcs d'Or",21000,DIJON,,,,,,
"Vionnet Philippe","Architectes (profession)","11 r Pierre Palliot",21000,DIJON,0380531230,,,,,
"Baroin Gérard","Architectes (profession)","24 av Victor Hugo",21000,DIJON,0380431100,,,,,
"SA BRANDON ET ARCHITECTES ASSOCIES (SA)","Architectes (profession)","13 r Devosge",21000,DIJON,0380305641,,,,,
"Chaudonneret Danon","Architectes (profession)","2 bd Georges Clemenceau",21000,DIJON,0380724048,,,,,
"Blanchard Philippe","Architectes (profession)","3 r Alfred Marpaux",21000,DIJON,,,,,,
Pelle,"Architectes (profession)","Ens Les Cottages 71 A r Talant",21000,DIJON,0977496554,,,,,
"Arnaud+Alquier Architectes Associés","Architectes (profession)","27 r Corroyeurs",21000,DIJON,,,,,,
"Arnaud René","Architectes (profession)","27 r Corroyeurs",21000,DIJON,0380303358,,,,,
"Tridon Architecture","Architectes (profession)","41 r Diderot",21000,DIJON,0380716363,,,,,
"Chamoin Melsens Architectes SELARL","Architectes (profession)","9 r Antoine Le Moiturier",21000,DIJON,0380656193,,,,,
"Jd Architecture","Architectes (profession)","11 r Musette",21000,DIJON,0380498896,,,,,
"L'Envol Architecture","Architectes (profession)","25 r Bruges",21000,DIJON,0380728562,,,,,
"Rudolf Vinet Architecte","Architectes (profession)","60 av Raymond Poincaré",21000,DIJON,,,,,,
"Athias Vincent","Architectes (profession)","2 bd Clémenceau",21000,DIJON,0380654013,0683970259,,,,
"Cornu Thierry","Architectes (profession)","111 r Longvic",21000,DIJON,0380680999,,,,,
"Dehaine Jean-Michel","Architectes (profession)","10 r Cazotte",21000,DIJON,0380436283,,,,,
"C Crépy & R Fromion Architectes","Architectes (profession)","34 cours Parc",21000,DIJON,0380673882,,,,,
"Sbolgi Michel","Architectes (profession)","13 r Pierre Loti",21000,DIJON,0380571320,,,,,
"Jouffroy Dominique","Architectes (profession)","2 Bis r Vieux Collège",21000,DIJON,0380653250,,,,,
"JF. Pelle Architecture","Architectes (profession)","71 A r Talant",21000,DIJON,0380561942,,,,,
"Laurence Gras","Architectes (profession)","13 r Hernoux",21000,DIJON,0380501616,,,,,
"Atelier Dedans Dehors","Architectes (profession)","1 Bis cours Gén de Gaulle",21000,DIJON,0380573029,,,,,
"Atelier CALC (Atelier Conception Architecturale Lance Capillon)","Architectes (profession)","4 r Dietsch",21000,DIJON,0380717700,,,,,
"Arkos Concepteurs Associés","Architectes (profession)","37 r Elsa Triolet PARC Valmy",21000,DIJON,0380749145,0686705142,,,,
"Daniel Saunier Architecte (DSA ARCHITECTURE)","Architectes (profession)","28 av du Drapeau",21000,DIJON,0380529906,,,,,
"Studio Mustard Architecture","Architectes (profession)","6 r Pasteur",21000,DIJON,0380300013,0618220178,,,,
"ART & FACT Architecture (SARL)","Architectes (profession)","8 rd pt Nation",21000,DIJON,0380741631,,,,,
"Sourd Tanzi Agnès","Architectes (profession)","35 av Beausite",06000,NICE,,,,,,
"Raymond-Kneiper Nicole","Architectes (profession)","14 r Henri Talpin",03230,BEAULON,0470427854,0671403092,,,,
"LMN Architectes","Architectes (profession)","2 r Monnaie",03160,"BOURBON L'ARCHAMBAULT",0470670725,,,,,
