0,1,2,3,4,5,6,7,8,9,10
compagni,Activité,Adresse,C.P.,Ville,phone,Mobile,Email,Commentary,Rappel,RDV
gtgt,tgtg,tgtg,tggt,ttg,tgtg,ttg,ttg,,,
"DU GARDIN Laure","Architectes (profession)","11 r de la Baraude",71640,GIVRY,,0614685197,,,,
"BARAUDE ARCHITECTURE","Architectes (profession)","11 r de la Baraude",71640,GIVRY,,0614685197,,,,
"Fraisse Gil","Architectes (profession)","5 pl Mairie",71640,"DRACY LE FORT",0385445965,,,,,
"ARCHITECTE STUDIO","Architectes (profession)","1 Bis r Eglise",71640,"DRACY LE FORT",0975231865,,,,,
"Barbier Daniel","Architectes (profession)","68 rte Mervans",71620,"SAINT MARTIN EN BRESSE",,,,,,
"Brando Sophie","Architectes (profession)","11 r République",71600,"PARAY LE MONIAL",,,,,,
"A2 Architectes","Architectes (profession)","11 r République",71600,"PARAY LE MONIAL",,0630147262,,,,
"SETAN Geoffrey Architecte","Architectes (profession)","1 r Pré des, Angles",71600,"PARAY LE MONIAL",0385811368,,,,,
"Renault Béatrice","Architectes (profession)","lieu-dit Roquets",71540,"CHISSEY EN MORVAN",0385826125,,,,,
"Beaumont Georges","Architectes (profession)","le Bourg",71520,TRIVY,,,,,,
"Atelier D'architecture De Tramayes","Architectes (profession)","ld Bernachon",71520,"SAINT POINT",,,,,,
"Dallery Dominique","Architectes (profession)","r Tuilerie",71510,PERREUIL,0385456644,,,,,
"ARCAD 26","Architectes (profession)","26 Grande Rue",71500,LOUHANS,0385750084,,,,,
"Atelier 71","Architectes (profession)","39 chem des jardins",71480,"DOMMARTIN LES CUISEAUX",0385766263,,,,,
Sofcad,"Architectes (profession)",Moreaux,71460,JONCY,0971202553,,,,,
"Le Goues Architecture","Architectes (profession)","1 che Paradis",71460,CORMATIN,0385517568,,,,,
"Molnar Piccinato (SARL)","Architectes (profession)","13 rte Salornay",71460,BONNAY,0385349453,,,,,
"Wackenheim François","Architectes (profession)","745 r Chevriers",71410,"SANVIGNES LES MINES",0385677033,,,,,
"Francois Wackenheim","Architectes (profession)","745 r Chevriers",71410,"SANVIGNES LES MINES",,"No Prospect",,,,
"Raynaud Jean-Gabriel","Architectes (profession)","24 r Saint Saulge",71400,AUTUN,0385522478,,,,,
CDA,"Architectes (profession)","3 r Carrouge",71400,AUTUN,0981812843,,,,,
"Architecture Thierry Hamot","Architectes (profession)","16 r Pont",71390,BUXY,0385921762,,,,,
"Hanotte Yves","Architectes (profession)","5 r Carnot",71300,"MONTCEAU LES MINES",0385584553,,,,,
"Champliau Bernard","Architectes (profession)","1 r Barbès",71300,"MONTCEAU LES MINES",,0607559048,,,,
"Liégeois Eric","Architectes (profession)","bât Ebs 1 r St Eloi",71300,"MONTCEAU LES MINES",,,,,,
"Atelier Des Equipages","Architectes (profession)","r St Eloi",71300,"MONTCEAU LES MINES",0385580740,,,,,
Ejo.Coopérative,"Architectes (profession)","r Tour de l'Assommoir",71300,"MONT SAINT VINCENT",0385739298,,,,,
"Houyez Daniel","Architectes (profession)","256 che Croix Bouilloud",71290,CUISERY,0385401282,,,,,
"Atelier FaBA","Architectes (profession)","pl Tertre",71260,VIRE,,,,,,
"Rattez Karine Arc Phi Architecture","Architectes (profession)","lieu dit Collonge",71260,CRUZILLE,0385332148,0678253222,,,,
"Forest Ludovic","Architectes (profession)","lieu-dit bezornay",71250,"SAINT VINCENT DES PRES",,"No Prospect",,,,
"Arc Phi Architecture","Architectes (profession)","11 r Lamartine",71250,CLUNY,0385201294,0672071405,,,,
"Fierimonte Stéphane Et Annick","Architectes (profession)","31 montée Lenoux",71240,LAIVES,,,,,,
"Assymetric Architecture","Architectes (profession)","31 montée Lenoux",71240,LAIVES,0951611696,0611640203,,,,
"Frédéric Faucher Architecture","Architectes (profession)","La Ruée",71240,LAIVES,0385447120,,,,,
"Marcantonio Eligio","Architectes (profession)","19 r Gambetta",71230,"SAINT VALLIER",,0672217026,,,,
"Arc Phi Architecture","Architectes (profession)",Croze,71220,"SAINT BONNET DE JOUX",0385247736,0672071405,,,,
"AMD Architectes Ingénieurs","Architectes (profession)","r Evariste Galois",71210,TORCY,0385785439,,,,,
"Dumoux Fabienne","Architectes (profession)","le Bourg",71210,"SAINT EUSEBE",0385785771,,,,,
"Bas Pascale","Architectes (profession)","1 r Boutière",71150,CHAGNY,,,,,,
"La Fabrique D'Architecture","Architectes (profession)","8 r Commerce",71140,"BOURBON LANCY",0385893046,,,,,
"Raymond-Kneiper Nicole","Architectes (profession)","3 pl Eglise",71140,"BOURBON LANCY",0385890544,,,,,
"Alison Gérard","Architectes (profession)","15 r Georges Musy",71100,"SAINT REMY",0385482508,,,,,
A2AD,"Architectes (profession)","42 r Jacques Briet",71100,"SAINT REMY",,0614076912,,,,
"Alison Gérard Architecte","Architectes (profession)","15 r Georges Musy",71100,"SAINT REMY",0385482522,,,,,
"Arnaud Granjon Architecte","Architectes (profession)","34 r Jean Moulin",71100,"CHALON SUR SAONE",0385485225,,,,,
"Architectes Studio","Architectes (profession)","7 r Virey",71100,"CHALON SUR SAONE",0385487022,,,,,
Li-po,"Architectes (profession)","34 quai St Cosme",71100,"CHALON SUR SAONE",,0620792123,,,,
"Hervé Regnault Architecte","Architectes (profession)","4 r Carnot",71100,"CHALON SUR SAONE",0385481359,,,,,
"Mage Thierry","Architectes (profession)","31 r Denon",71100,"CHALON SUR SAONE",0385933240,,,,,
"Daniel Saunier Architecte (DSA ARCHITECTURE)","Architectes (profession)","58 r Gloriette",71100,"CHALON SUR SAONE",0385931772,,,,,
"Guilloux Philippe","Architectes (profession)","11 r Banque",71100,"CHALON SUR SAONE",0385932331,,,,,
"Auclair Eric","Architectes (profession)","11 rem Ste Marie",71100,"CHALON SUR SAONE",0385936474,,,,,
"Naos Atelier D'Architecture","Architectes (profession)","23 av Monnot Prolongée",71100,"CHALON SUR SAONE",0385989960,,,,,
"Atelier Architecture Olivier Le Gallée","Architectes (profession)","7 r Philibert Léon Couturier",71100,"CHALON SUR SAONE",0385935446,,,,,
"DP & Associés","Architectes (profession)","4 r 19 Mars 1962",71000,SANCE,,0619683777,,,,
"MONSIEUR JEAN-PIERRE MAGNIN","Architectes (profession)","146 r St Antoine",71000,MACON,0385385256,,,,,
"Guimet Olivier","Architectes (profession)","31 pl Gardon",71000,MACON,,0760482010,,,,
